Sl.No,State/UT,Total Police per lakh of population - Sanctioned,Total Police per lakh of population - Actual,Sanctioned strength of Police Personnel
1,Andhra Pradesh,NA,NA,52271
2,Arunachal Pradesh,995.5,878.4,8538
3,Assam,200.8,169.6,34663
4,Bihar,107.7,74.8,92422
5,Chhattisgarh,269.7,228.6,45478
6,Goa,417.5,352.4,5630
7,Gujarat,168.9,120.2,84476
8,Haryana,230,164.8,59044
9,Himachal Pradesh,237.5,225.4,10606
10,Jammu and Kashmir,679.8,627,52225
11,Jharkhand,251.4,175,63215
12,Karnataka,183.2,145.1,102301
13,Kerala,178.2,174.5,53998
14,Madhya Pradesh,147.3,125.4,87366
15,Maharashtra,198.7,186.5,220126
16,Manipur,1252.5,962.7,18527
17,Meghalaya,549.2,442.7,7840
18,Mizoram,916.5,702.1,3858
19,Nagaland,900.8,965.8,9086
20,Odisha,155.7,132.9,40404
21,Punjab,299.6,275,68902
22,Rajasthan,142.1,121.7,89191
23,Sikkim,934.1,822.6,2482
24,Tamil Nadu,195.4,184.2,121168
25,Telangana,NA,NA,52074
26,Tripura,712,619.7,12537
27,Uttar Pradesh,187.8,90.4,377009
28,Uttarakhand,197,186.3,16122
29,West Bengal,143.4,102.4,107777
30,Andaman and Nicobar Islands,803.6,705.9,3747
31,Chandigarh,369.9,325.4,5794
32,Dadra and Nagar Haveli,82.9,79.2,354
33,Delhi,390,383.3,75207
34,Daman and Diu,147.9,113.6,500
35,Lakshadweep,685.4,492.7,562
36,Puducherry,249.5,220.1,3305
All-India Total,All-India Total,192.87,150.75,1989295
