127.0.0.1, 2020-01-15 13:06:04, GET, /, HTTP/1.1, 303, 0.000645
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/default/index, HTTP/1.1, 200, 3.898997
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000828
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000772
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000348
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000308
127.0.0.1, 2020-01-15 13:06:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003022
127.0.0.1, 2020-01-15 13:06:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000248
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/default/index, HTTP/1.1, 200, 0.187601
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000526
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2020-01-15 13:06:13, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001364
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000952
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001064
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2020-01-15 13:06:14, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000422
